planner,seed,ablation,metric,trace_hash,events,pairs,rejected_actions,roc_auc,precision,recall,f1,precision_at_k,adjusted_rand,nmi,within_mean,between_mean,separation
NaiveUniform,23,without_sequence,Sequence,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,23,without_sequence,Destination,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_sequence,Synchrony,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_sequence,Funding,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_sequence,Route,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.77777778,0.18367347,1.00000000,0.31034483,0.18444444,0.18518519,0.54866200,1.00000000,0.44444444,0.55555556
NaiveUniform,23,without_sequence,BalanceRank,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.90891556,0.19266055,0.93333333,0.31939163,0.63333333,0.00041905,0.09455928,0.86203792,0.45279621,0.40924172
NaiveUniform,23,without_synchrony,composite,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,0.42857143,1.00000000,0.60000000,1.00000000,0.54166667,0.82234155,,,
NaiveUniform,23,without_synchrony,Timing,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.68666667,0.09090909,1.00000000,0.16666667,0.11777778,0.00000000,0.00000000,1.00000000,0.92710213,0.07289787
NaiveUniform,23,without_synchrony,Amount,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,0.11111111,1.00000000,0.20000000,1.00000000,0.04347826,0.37574159,1.00000000,0.67000000,0.33000000
NaiveUniform,23,without_synchrony,Sequence,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,23,without_synchrony,Destination,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_synchrony,Synchrony,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_synchrony,Funding,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_synchrony,Route,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.77777778,0.18367347,1.00000000,0.31034483,0.18444444,0.18518519,0.54866200,1.00000000,0.44444444,0.55555556
NaiveUniform,23,without_synchrony,BalanceRank,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.90891556,0.19266055,0.93333333,0.31939163,0.63333333,0.00041905,0.09455928,0.86203792,0.45279621,0.40924172
NaiveUniform,23,without_funding,composite,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,0.42857143,1.00000000,0.60000000,1.00000000,0.54166667,0.82234155,,,
NaiveUniform,23,without_funding,Timing,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.68666667,0.09090909,1.00000000,0.16666667,0.11777778,0.00000000,0.00000000,1.00000000,0.92710213,0.07289787
NaiveUniform,23,without_funding,Amount,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,0.11111111,1.00000000,0.20000000,1.00000000,0.04347826,0.37574159,1.00000000,0.67000000,0.33000000
NaiveUniform,23,without_funding,Sequence,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,0.91111111,0.36000000,1.00000000,0.52941176,0.34888889,0.45679012,0.77026959,1.00000000,0.17777778,0.82222222
NaiveUniform,23,without_funding,Destination,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_funding,Synchrony,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
NaiveUniform,23,without_funding,Funding,b058389b92f64591f63797fc15265cd637571968ec100f7fe07c945752fe42e5,6000,4950,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000
